company_name,year,file_name,total_assets,total_liabilities,revenue,net_profit
ZA,2023,ZA_Bank_2023_Annual.pdf,13030228,10979394,,
ZA,2024,ZA_Bank_2024_Annual.pdf,19952965,18042037,,
ZA,2024,ZA_Bank_2024_Q1_Q2.pdf,,,,
weLab,2018,weLab_Bank_2018_Annual.pdf,,,,
weLab,2019,weLab_Bank_2019_Annual.pdf,,,,
weLab,2020,weLab_Bank_2020_Annual.pdf,,,,
weLab,2020,weLab_Bank_2020_Q1_Q2.pdf,776078,259192,4,
weLab,2021,weLab_Bank_2021_Annual.pdf,,,,
weLab,2021,weLab_Bank_2021_Q1_Q2.pdf,2723303,2188491,788,
weLab,2022,weLab_Bank_2022_Q1_Q2.pdf,2667193,2138869,1495,
weLab,2022,weLab_Bank_2022_Annual.pdf,,,,
weLab,2023,weLab_Bank_2023_Q1_Q2.pdf,3054770,2565157,8130,
weLab,2023,weLab_Bank_2023_Annual.pdf,,,17782,
weLab,2024,weLab_Bank_2024_Q1_Q2.pdf,8689647,7582575,13232,
