company_name,year,file_name,total_assets,total_liabilities,total_equity,revenue,net_profit,operating_cash_flow,error
MOXBank,2020,MOXBank_2020_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
MOXBank,2020,MOXBank_2020_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
MOXBank,2021,MOXBank_2021_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
MOXBank,2021,MOXBank_2021_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
MOXBank,2022,MOXBank_2022_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
MOXBank,2022,MOXBank_2022_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
MOXBank,2023,MOXBank_2023_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
MOXBank,2023,MOXBank_2023_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
MOXBank,2024,MOXBank_2024_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
PAO,2020,PAO_Bank_2020_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
PAO,2020,PAO_Bank_2020_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
PAO,2021,PAO_Bank_2021_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
PAO,2021,PAO_Bank_2021_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
PAO,2022,PAO_Bank_2022_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
PAO,2022,PAO_Bank_2022_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
PAO,2023,PAO_Bank_2023_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
PAO,2023,PAO_Bank_2023_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
PAO,2024,PAO_Bank_2024_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
Revolut,2016,Revolut_2016_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
Revolut,2017,Revolut_2017_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
Revolut,2018,Revolut_2018_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
Revolut,2019,Revolut_2019_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
Revolut,2020,Revolut_2020_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
Revolut,2021,Revolut_2021_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
Revolut,2022,Revolut_2022_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
Revolut,2023,Revolut_2023_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2018,ZA_Bank_2018_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2019,ZA_Bank_2019_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2020,ZA_Bank_2020_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2020,ZA_Bank_2020_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2021,ZA_Bank_2021_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2021,ZA_Bank_2021_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2022,ZA_Bank_2022_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2022,ZA_Bank_2022_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2023,ZA_Bank_2023_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2023,ZA_Bank_2023_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2024,ZA_Bank_2024_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
ZA,2024,ZA_Bank_2024_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
weLab,2018,weLab_Bank_2018_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
weLab,2019,weLab_Bank_2019_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
weLab,2020,weLab_Bank_2020_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
weLab,2020,weLab_Bank_2020_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
weLab,2021,weLab_Bank_2021_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
weLab,2021,weLab_Bank_2021_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
weLab,2022,weLab_Bank_2022_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
weLab,2022,weLab_Bank_2022_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
weLab,2023,weLab_Bank_2023_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
weLab,2023,weLab_Bank_2023_Annual.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
weLab,2024,weLab_Bank_2024_Q1_Q2.pdf,,,,,,,extract() missing 1 required positional argument: 'report'
