Company,Year,Total Assets,Total Liabilities,Revenue,Net Profit,Success Level,File
ING,2015,49870852.0,46370966.0,,314662.0,Partial(3/4),ING_2015_Annual.pdf
ING,2016,,,,295.0,Partial(1/4),ING_2016_Annual.pdf
ING,2017,58144.0,54041.0,,348.0,Partial(3/4),ING_2017_Annual.pdf
ING,2018,64643.0,60171.0,,401.0,Partial(3/4),ING_2018_Annual.pdf
ING,2019,69951.0,65108.0,,440.0,Partial(3/4),ING_2019_Annual.pdf
ING,2021,77749.0,71924.0,,549.0,Partial(3/4),ING_2021_Annual.pdf
ING,2022,83556.0,77444.0,,589.0,Partial(3/4),ING_2022_Annual.pdf
ING,2023,86981.0,80927.0,,654.0,Partial(3/4),ING_2023_Annual.pdf
Inbank,2016,4200.0,,,,Partial(1/4),Inbank_2016_Annual.pdf
Inbank,2015,,,2600.0,1000.0,Partial(2/4),Inbank_2015_Annual.pdf
ING,2020,73045.0,67890.0,,375.0,Partial(3/4),ING_2020_Annual.pdf
Inbank,2017,125000.0,,,,Partial(1/4),Inbank_2017_Annual.pdf
Inbank,2018,318000.0,,,,Partial(1/4),Inbank_2018_Annual.pdf
Inbank,2020,318.0,,,9.3,Partial(2/4),Inbank_2020_Annual.pdf
Inbank,2024,490.0,,,34.8,Partial(2/4),Inbank_2024_Annual.pdf
Inbank,2021,462.8,,,10.0,Partial(2/4),Inbank_2021_Annual.pdf
Inter,2021,,28.176,,,Partial(1/4),Inter_2021_Annual.pdf
Inbank,2019,318.0,,,9.0,Partial(2/4),Inbank_2019_Annual.pdf
Inter,2022,,33.818,,,Partial(1/4),Inter_2022_Q2.pdf
Inter,2022,,36.703,,,Partial(1/4),Inter_2022_Q3.pdf
Inter,2022,,39.253,,,Partial(1/4),Inter_2022_Annual.pdf
Inter,2023,,47.71,,,Partial(1/4),Inter_2023_Q3.pdf
Inter,2024,,,,972.841,Partial(1/4),Inter_2024_Annual.pdf
Inter,2024,,54.008,,195.22,Partial(2/4),Inter_2024_Q1.pdf
Inter,2024,,57.965,,222.664,Partial(2/4),Inter_2024_Q2.pdf
Inter,2024,,,,260.011,Partial(1/4),Inter_2024_Q3.pdf
Kabbage,2011,153337.0,,,4935.0,Partial(2/4),Kabbage_2011_Annual.pdf
